Month,TAVG_CDMX,temp_celsius_CDMX,ref_temp_CDMX,Diff_CDMX,TAVG_SODANKYLA,temp_celsius_SODANKYLA,ref_temp_SODANKYLA,DIFF_SODANKYLA,TAVG_KELSINKI,temp_celsius_HELSINKI,ref_temp_HELSINKI,DIFF_HELSINKI,Monthly_diff_helsk-Soda,Monthly_diff_helsk-CDMX,Monthly_diff_CDMX-Soda
1,57.91163050787751,14.395350282154181,14.522299575023002,-0.12694929286882564,5.766749379652604,-14.574028122415221,-14.70838835439854,0.13436023198331826,22.020666666666667,-5.544051282051282,-5.351,-0.19320512820512825,-9.029976840363938,-19.93940156420547,28.969378404569404
2,60.69049569743461,15.939164276352574,16.131663938286355,-0.1924996619337894,7.893833353358166,-13.392314803689912,-14.130260997320885,0.7379461936309815,21.370317073170728,-5.905341463414633,-5.941000000000002,0.035829268292682785,-7.486973340275275,-21.844505739767214,29.331479080042488
3,64.33081151764782,17.961561954248783,18.05173598606826,-0.09017403181947907,16.2502688172043,-8.749850657108723,-9.54683602674548,0.7969853696367551,28.699899999999996,-1.83335,-2.4399999999999986,0.6069,-6.916500657108723,-19.794911954248786,26.711412611357513
4,67.03793138845846,19.46551743803249,19.41528024099001,0.05023719704245959,26.5974358974359,-3.001424501424501,-3.067089018843405,0.06566451741890317,38.799948717948716,3.777794871794872,3.424000000000003,0.3538717948717948,-6.779219373219375,-15.687722566237621,22.466941939456994
5,67.03398469742461,19.46332483190257,19.538674064527267,-0.07534923262469007,39.102124311565696,3.9456246175364984,3.8892905697688804,0.05633404776761855,50.85995121951219,10.477804878048783,10.180000000000005,0.29790243902439023,-6.532180260512281,-8.985519953853784,15.517700214366062
6,65.29703704134828,18.498353911860157,18.52133016212216,-0.022976250262017977,50.782936507936505,10.434964726631396,10.392184557438785,0.04278016919259999,58.46673809523811,14.703738095238098,14.668000000000003,0.03588095238095238,-4.268773368606702,-3.7946158166220583,8.063389185228763
7,62.9578491719561,17.198805095531164,17.243836414107708,-0.04503131857654676,56.18378607809846,13.435436710054706,13.51647834274952,-0.08104163269482052,63.04415789473684,17.24671052631579,17.28099999999999,-0.03373684210526317,-3.8112738162610813,0.04790543078462448,3.7633683854764586
8,63.20436435359017,17.335757974216765,17.378916471858812,-0.043158497642046795,51.783026113671276,10.99057006315071,10.975930045729811,0.014640017420884907,60.41166666666667,15.784261904761902,15.604000000000006,0.18059523809523814,-4.7936918416111975,-1.5514960694548567,6.345187911066053
9,62.61281569677863,17.007119831543683,17.070786598467212,-0.06366676692353375,42.65365853658537,5.918699186991871,5.771551724137935,0.14714746285393962,51.30975609756097,10.727658536585368,10.596000000000002,0.13153658536585378,-4.808959349593497,-6.27946129495832,11.088420644551812
10,61.744222551499824,16.524568084166564,16.54448399804529,-0.01991591387873882,30.875960061443937,-0.6244666325311486,-0.8629959213941417,0.2385292888629926,41.883071428571434,5.49054761904762,5.4879999999999995,0.002880952380952307,-6.115014251578766,-11.034020465118951,17.149034716697713
11,60.23960302104386,15.688668345024372,15.728881204859366,-0.040212859835000316,18.27375,-7.625694444444443,-7.512292464878671,-0.11340197956577265,33.48247500000001,0.823625,0.6460000000000006,0.17782500000000004,-8.449319444444445,-14.865043345024375,23.31436278946882
12,58.54520558557717,14.74733643643177,14.787665101682604,-0.04032866525084458,9.875103391232422,-12.2916092270931,-12.293752317389702,0.002143090296600055,26.573153846153847,-3.0149487179487173,-3.210999999999999,0.19643589743589762,-9.27666050914438,-17.762285154380486,27.038945663524864
